AS OF 01/05/2019

CODE    ,PROCEDURE DESCRIPTION         ,BEGIN DATE,END DATE  ,PRIOR AUTHORIZATION REQUIRED  ,FEE (AGE 21+),FEE (UNDER 21),MAX UNITS,FACILITY PRICING,MANUAL PRICING,COVERED BENEFIT,

D0120   ,PERIODIC ORAL EVALUATION - ESTABLISHED PATIENT                                                                                                                                                                                                                                                                                  ,01/07/2006,12/31/9999,NO                            ,$31.00    ,$35.00    ,      999,            ,   ,YES,
D0140   ,LIMITED ORAL EVALUATION - PROBLEM FOCUSED. BILL FOR EMERGENCY TREATMENT TO CONTROL BLOOD.                                                                                                                                                                                                                                       ,01/07/2006,12/31/9999,NO                            ,$45.00    ,$50.00    ,        2,            ,   ,YES,
D0145   ,ORAL EVALUATION FOR A PATIENT UNDER THREE YEARS OF AGE AND COUNSELING WITH PRIMARY CAREGIVER                                                                                                                                                                                                                                    ,01/01/2013,12/31/9999,NO                            ,$40.00    ,$40.00    ,        1,            ,   ,YES,
D0150   ,COMPREHENSIVE ORAL EVALUATION - NEW OR ESTABLISHED PATIENT                                                                                                                                                                                                                                                                      ,07/01/2003,12/31/9999,NO                            ,$69.00    ,$77.50    ,        1,            ,   ,YES,
D0160   ,DETAILED AND EXTENSIVE ORAL EVALUATION - PROBLEM FOCUSED  BY REPORT                                                                                                                                                                                                                                                             ,01/07/2006,12/31/9999,YES                           ,$60.00    ,$67.50    ,        1,            ,   ,YES,
D0170   ,RE-EVALUATION-LIMITED  PROBLEM FOCUSED (ESTABLISHED PATIENT; NOT POST-OPERATIVE VISIT)                                                                                                                                                                                                                                          ,08/01/2003,12/31/9999,NO                            ,$40.00    ,$45.00    ,        1,            ,   ,YES,
D0171   ,RE-EVALUATION - POST-OPERATIVE OFFICE VISIT                                                                                                                                                                                                                                                                                     ,01/01/2015,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,   ,NO ,
D0180   ,COMPREHENSIVE PERIODONTAL EVALUATION - NEW OR ESTABLISHED PATIENT                                                                                                                                                                                                                                                               ,08/01/2003,12/31/9999,NO                            ,$69.00    ,$77.50    ,        1,            ,   ,YES,
D0190   ,SCREENING OF A PATIENT                                                                                                                                                                                                                                                                                                          ,01/01/2013,12/31/9999,NO                            ,$30.00    ,$30.00    ,        1,            ,   ,YES,
D0191   ,ASSESSMENT OF A PATIENT                                                                                                                                                                                                                                                                                                         ,01/01/2013,12/31/9999,NO                            ,$30.00    ,$30.00    ,        1,            ,   ,YES,
D0210   ,INTRAORAL - COMPLETE SERIES OF RADIOGRAPHIC IMAGES                                                                                                                                                                                                                                                                              ,01/07/2006,12/31/9999,NO                            ,$70.00    ,$91.00    ,        1,            ,   ,YES,
D0220   ,INTRAORAL - PERIAPICAL FIRST RADIOGRAPHIC IMAGE                                                                                                                                                                                                                                                                                 ,01/07/2006,12/31/9999,NO                            ,$16.00    ,$20.00    ,        1,            ,   ,YES,
D0230   ,INTRAORAL - PERIAPICAL EACH ADDITIONAL RADIOGRAPHIC IMAGE                                                                                                                                                                                                                                                                       ,01/07/2006,12/31/9999,NO                            ,$12.00    ,$16.00    ,        4,            ,   ,YES,
D0240   ,INTRAORAL - 0CCLUSAL RADIOGRAPHIC IMAGE                                                                                                                                                                                                                                                                                         ,01/07/2006,12/31/9999,NO                            ,$23.00    ,$29.00    ,       28,            ,   ,YES,
D0250   ,Extra-oral - 2d projection radiographic image created using a stationary radiation source  and detector                                                                                                                                                                                                                         ,12/31/1978,12/31/9999,NO                            ,$0.00     ,$0.00     ,      999,            ,   ,NO ,
D0251   ,EXTRA-ORAL POSTERIOR DENTAL RADIOGRAPHIC IMAGE                                                                                                                                                                                                                                                                                  ,01/01/2016,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,   ,NO ,
D0270   ,BITEWING - SINGLE RADIOGRAPHIC IMAGE                                                                                                                                                                                                                                                                                            ,01/07/2006,12/31/9999,NO                            ,$16.00    ,$21.00    ,        1,            ,   ,YES,
D0272   ,BITEWINGS - TWO RADIOGRAPHIC IMAGES                                                                                                                                                                                                                                                                                             ,07/01/2003,12/31/9999,NO                            ,$32.00    ,$40.00    ,        1,            ,   ,YES,
D0273   ,BITEWINGS - THREE RADIOGRAPHIC IMAGES                                                                                                                                                                                                                                                                                           ,01/01/2007,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,   ,NO ,
D0274   ,BITEWINGS - FOUR RADIOGRAPHIC IMAGES                                                                                                                                                                                                                                                                                            ,07/01/2003,12/31/9999,NO                            ,$38.00    ,$48.00    ,        1,            ,   ,YES,
