cdm	code	deptName	descr	primary
DCWAS_Providence MT	2220002	Anesthesia	ANES GENERAL 1ST 30MIN	240.76
DCWAS_Providence MT	2200000	Anesthesia	ANES GENERAL EA ADDL 15MIN	86.58
DCWAS_Providence MT	2200007	Anesthesia	ANES LOCAL 1ST 30MIN	137.53
DCWAS_Providence MT	2200008	Anesthesia	ANES LOCAL EA ADDL 15MIN	49.62
DCWAS_Providence MT	2200002	Anesthesia	ANES MAC 1ST 30MIN	206.46
DCWAS_Providence MT	2200003	Anesthesia	ANES MAC EA ADDL 15MIN	74.26
DCWAS_Providence MT	2200005	Anesthesia	ANES REGIONAL 1ST 30MIN	171.83
DCWAS_Providence MT	2200006	Anesthesia	ANES REGIONAL EA ADDL 15MIN	61.94
DCWAS_Providence MT	2200020	Anesthesia	GLIDESCOPE LO PRO SZ 3	25.97
DCWAS_Providence MT	2200019	Anesthesia	GLIDESCOPE LO PRO SZ 4	25.97
DCWAS_Providence MT	2200009	Anesthesia	MODERATE SEDATION 1ST 15MIN	24.31
DCWAS_Providence MT	2200010	Anesthesia	MODERATE SEDATION EA ADDL15MIN	24.31
DCWAS_Providence MT	2200021	Anesthesia	SET NERVE BLOCK NEEDLE18GAX6IN	16.65
DCWAS_Providence MT	3221207	Blood Bank	ABO RECHECK BLOOD TYPE SEROLOG	52.95
DCWAS_Providence MT	3210929	Blood Bank	ANTI-B0DY SCREENING	28.64
DCWAS_Providence MT	3210903	Blood Bank	ANTI-BODY IDENT	75.59
DCWAS_Providence MT	3210937	Blood Bank	ANTIBODY PANEL	75.59
DCWAS_Providence MT	3211018	Blood Bank	ANTIGEN TYPE RBC-37 DEG SEROLG	52.95
DCWAS_Providence MT	3210952	Blood Bank	ANTIGEN TYPING-COOMBS	86.91
DCWAS_Providence MT	3211034	Blood Bank	BLD XMATCH, PER UNIT	86.91
DCWAS_Providence MT	3210853	Blood Bank	BLOOD LEUKOCYTE POOR EA UNIT	310.36
DCWAS_Providence MT	3210994	Blood Bank	BLOOD TYPING A-B-O SEROLOGIC	52.95
DCWAS_Providence MT	3211000	Blood Bank	BLOOD TYPING, RH SEROLOGIC	22.98
DCWAS_Providence MT	3210945	Blood Bank	COOMBS, DIRECT	86.91
DCWAS_Providence MT	3210242	Blood Bank	CRYOPRECIPITATE EA UNIT	83.92
DCWAS_Providence MT	3221140	Blood Bank	FRSH FRZN PLASMA 8-24 HR EA UN	86.25
DCWAS_Providence MT	3210507	Blood Bank	PLTLT PHERSIS LEUKREDUC EA UNT	654.35
DCWAS_Providence MT	3210291	Blood Bank	RHO D IMMUNE GLOBULIN 300MCG	119.88
DCWAS_Providence MT	3205002	Blood Bank	THAWING EA UNIT	86.91
DCWAS_Providence MT	4860003	Cafeteria Sales	MNT INITIAL, EA 15 MIN	31.97
DCWAS_Providence MT	3396306	Cardiac Diagnostic Srvcs	EKG TECHNICAL CHARGE	38.96
DCWAS_Providence MT	6800000	Cardiac Ultrasound	ECHO DOPPLER COMPLETE 93320	159.51
DCWAS_Providence MT	6800007	Cardiac Ultrasound	ECHO REAL TIME W CONT C8923	298.37
DCWAS_Providence MT	6800011	Cardiac Ultrasound	ECHO TEE W CONTRAST C8925	201.47
